Track Name,Artist Name,Acousticness,Danceability,Energy,Instrumentalness,Speechiness,Liveness,Loudness,Tempo,Valence,Popularity,Release Date,Genres
Some Have Said,Yppah,0.00881,0.549,0.683,0.872,0.0236,0.113,-5.835,99.991,0.34,37,4/2/2012,"['ambient idm', 'downtempo fusion', 'substep']"
Something About You,Terry Malts,1.09E-05,0.298,0.905,0.885,0.0487,0.107,-4.36,127.866,0.414,26,2/21/2012,"['garage pop', 'la indie']"
Something Good,alt-J,0.714,0.682,0.581,0.323,0.0295,0.0802,-10.339,108.98,0.539,59,9/18/2012,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']"
Song for a Warrior,Swans,0.0868,0.278,0.126,0.00381,0.0335,0.0903,-17.751,137.254,0.129,23,8/28/2012,"['art pop', 'dream pop', 'experimental', 'experimental rock', 'industrial', 'industrial rock', 'no wave', 'noise pop', 'noise rock', 'post-punk', 'post-rock', 'shoegaze']"
Soon Enough,Yppah,0.0117,0.516,0.829,0.766,0.0348,0.144,-7.745,160.01,0.646,24,4/2/2012,"['ambient idm', 'downtempo fusion', 'substep']"
Spitting Cobra,LV,0.351,0.637,0.482,0.00108,0.0419,0.112,-8.865,144.307,0.286,0,7/1/2014,['uk bass']
Stepson,Foals,0.295,0.66,0.582,0.734,0.0335,0.103,-11.615,119.991,0.343,34,1/31/2013,"['alternative dance', 'garage rock', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'neo-synthpop', 'oxford indie', 'shimmer pop']"
Strung Like Lights At Thee Printemps Erable,Godspeed You! Black Emperor,0.977,0.168,0.023,0.853,0.0511,0.105,-14.864,124.211,0.0193,25,10/15/2012,"['canadian post-rock', 'double drumming', 'experimental rock', 'instrumental post-rock', 'noise pop', 'post-rock']"
TMA,Nedry,0.00011,0.639,0.686,0.259,0.0502,0.0969,-6.399,135.015,0.42,0,3/12/2012,[]
Taro,alt-J,0.779,0.359,0.48,0.00328,0.0349,0.0784,-10.634,171.75,0.283,54,9/18/2012,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']"
Thatha Lo,LV,0.000918,0.832,0.742,0.000418,0.0938,0.0637,-8.227,134.987,0.74,0,7/1/2014,['uk bass']
The Daughter Brings the Water,Swans,0.409,0.329,0.527,0.764,0.0392,0.102,-14.397,74.767,0.198,18,8/28/2012,"['art pop', 'dream pop', 'experimental', 'experimental rock', 'industrial', 'industrial rock', 'no wave', 'noise pop', 'noise rock', 'post-punk', 'post-rock', 'shoegaze']"
The Seer,Swans,0.0207,0.183,0.643,0.878,0.0435,0.295,-9.823,139.516,0.104,24,8/28/2012,"['art pop', 'dream pop', 'experimental', 'experimental rock', 'industrial', 'industrial rock', 'no wave', 'noise pop', 'noise rock', 'post-punk', 'post-rock', 'shoegaze']"
The Seer Returns,Swans,0.308,0.375,0.654,0.411,0.0362,0.0746,-9.437,74.764,0.182,24,8/28/2012,"['art pop', 'dream pop', 'experimental', 'experimental rock', 'industrial', 'industrial rock', 'no wave', 'noise pop', 'noise rock', 'post-punk', 'post-rock', 'shoegaze']"
The Wolf,Swans,0.785,0.318,0.186,0.000322,0.142,0.31,-20.304,113.629,0.313,22,8/28/2012,"['art pop', 'dream pop', 'experimental', 'experimental rock', 'industrial', 'industrial rock', 'no wave', 'noise pop', 'noise rock', 'post-punk', 'post-rock', 'shoegaze']"
Their Helicopters Sing,Godspeed You! Black Emperor,0.0897,0.128,0.322,0.944,0.0384,0.341,-9.498,67.976,0.033,28,10/15/2012,"['canadian post-rock', 'double drumming', 'experimental rock', 'instrumental post-rock', 'noise pop', 'post-rock']"
